ID,model_ID,year,price,mileage,tax,mpg,engineSize,transmission_ID,fuel_ID,Brand
22932,13,2020,25879,1000,145,53.29999924,1.299999952,4,5,Merc
22933,13,2020,25879,1000,145,53.29999924,1.299999952,4,5,Merc
22934,31,2017,22999,20000,30,65.69999695,2,4,1,Merc
22935,38,2020,60899,1000,150,32.5,2.900000095,4,1,Merc
22936,25,2018,29999,17788,145,36.20000076,3,4,5,Merc
22937,13,2020,25879,1000,145,53.29999924,1.299999952,4,5,Merc
22938,13,2020,25879,1000,145,53.29999924,1.299999952,4,5,Merc
22939,13,2020,25879,1000,145,53.29999924,1.299999952,4,5,Merc
22940,13,2020,25879,1000,145,53.29999924,1.299999952,4,5,Merc
22941,13,2020,25879,1000,145,53.29999924,1.299999952,4,5,Merc
22942,13,2020,24409,1000,145,67.30000305,1.5,4,1,Merc
22943,13,2020,25879,1000,145,53.29999924,1.299999952,4,5,Merc
22944,35,2019,22999,12904,145,67.30000305,2.099999905,4,1,Merc
22945,30,2019,42999,7038,145,47.90000153,2.900000095,4,1,Merc
22946,24,2019,27299,1581,145,44.09999847,1.299999952,4,5,Merc
22947,26,2019,26999,7634,145,51.40000153,2.200000048,4,1,Merc
22948,25,2019,25249,1729,145,45.59999847,1.5,4,5,Merc
22949,24,2019,23999,1019,145,55.40000153,2,4,1,Merc
22950,25,2018,50799,639,145,31.70000076,4,1,5,Merc
22951,25,2016,17949,22000,30,64.19999695,2.099999905,1,1,Merc
22952,31,2018,55749,4003,145,32.09999847,4,4,5,Merc
22953,25,2019,26299,5661,145,46.29999924,1.5,4,5,Merc
22954,31,2017,21299,23429,145,61.40000153,2,4,1,Merc
22955,26,2019,37799,3022,145,36.70000076,2,4,5,Merc
22956,25,2019,67199,2270,145,28,4,4,5,Merc
22957,13,2019,26099,487,145,65.69999695,1.5,4,1,Merc
22958,38,2020,50419,1000,145,36.70000076,2,4,1,Merc
22959,25,2017,26249,22571,145,54.29999924,2.099999905,1,1,Merc
22960,31,2016,21749,30209,30,65.69999695,2,4,1,Merc
22961,37,2018,32849,11582,145,56.5,2.099999905,4,1,Merc
22962,38,2016,26499,31830,200,47.90000153,2.099999905,4,1,Merc
22963,13,2017,15649,24524,145,68.90000153,1.5,2,1,Merc
22964,35,2017,20149,13108,145,64.19999695,2.099999905,4,1,Merc
22965,35,2019,23149,13406,145,67.30000305,2.099999905,4,1,Merc
22966,25,2017,31399,19224,145,36.20000076,3,4,5,Merc
22967,25,2019,25999,5910,145,46.29999924,1.5,4,5,Merc
22968,13,2019,24599,576,145,56.5,2,4,1,Merc
